team,2016mdbet,2016mdblr,2016mdedg,2016vabla,2016vados,2016vahay,2016vapor
1033,6953,11805,8872,11813,1455,6940,5331
1080,8993,12579,9646,12899,2229,7537,5022
1086,6718,11570,8638,11596,1221,8000,5435
1111,3021,3980,469,17256,6882,4965,12451
1123,1502,5690,3711,14007,4956,1716,10468
1137,10792,14052,11120,16275,5439,10933,4761
116,1616,5821,4001,14307,5883,2016,11238
122,9984,15294,12830,15615,4945,10252,1420
1262,16480,20668,18865,6466,12527,14806,14326
1389,231,4775,2935,14701,5411,2410,10981
1413,12319,16333,14696,11527,7279,13461,8852
1418,1077,5300,3451,14050,4795,1759,10365
1446,2144,4629,2131,15477,5475,3186,11045
1522,7655,11499,8566,12428,1289,7643,5749
1541,8967,12855,9922,11843,2505,8337,6389
1598,16003,20191,18388,7879,11325,14330,13125
1599,7655,11499,8566,12428,1289,7643,5749
1610,11360,16671,13738,16404,6321,11629,3073
1629,8999,11627,10979,16704,13888,9613,19457
1719,3804,3220,3154,17568,9094,5585,14082
1731,3088,7293,5549,12872,4552,1415,10121
1793,11029,15044,13900,16660,5990,11017,1571
1829,12757,13256,10893,21902,11232,14539,6471
1885,2292,6498,4735,12801,5252,410,10821
1895,2460,6682,4924,13624,4911,1333,10481
1908,14042,14540,12177,19464,8795,13822,4034
1915,2581,4668,2168,15901,5727,3610,11542
2028,10434,15744,13305,16064,5394,10702,1664
2068,2560,6765,4985,14157,4888,1866,10457
2106,8985,13173,10007,10853,2590,7312,6862
2107,11378,15393,14258,17009,6339,11366,1265
2186,1616,5821,4001,14307,5883,2016,11391
2199,4056,3374,3308,17551,9248,5739,14690
2363,9871,16074,12594,15501,4831,10139,2109
2377,3280,3244,1808,17274,8343,4983,13143
2421,1819,6024,3497,14223,4487,1932,10056
2528,3802,2767,3153,17566,8471,5584,14080
2534,4036,2736,3336,17749,9276,5767,14314
2537,2620,3672,2480,16614,7288,4323,12830
2819,2139,5168,2314,15250,4876,2959,10391
2849,2254,3390,2230,16228,7038,3937,12549
2890,12774,18656,15661,18420,7750,12762,2238
2900,1375,5480,2959,14775,5158,2484,10670
2911,1433,5123,3150,15442,5789,3152,11359
2912,2581,4652,2168,15901,5727,3610,11297
