team,2018mdedg,2018mdoxo,2018vabla,2018vagdc,2018vagle,2018vahay,2018vapor
1080,9605,6936,1551,6196,2104,7555,5184
1086,8590,5921,781,5181,790,6540,5599
1111,464,2718,9013,3367,9267,5210,13643
1123,3923,2008,5863,1608,6117,1769,10493
1137,11054,9775,4852,9569,5452,10928,4749
116,4400,2825,7993,2432,8248,2055,12623
122,12306,9637,4205,8897,4805,10256,1594
1262,18692,16798,11462,16272,11556,14793,14318
1389,3230,2588,6316,2082,6570,2707,10945
1413,13671,11991,6185,11251,7154,12348,8836
1418,3702,1786,5708,1386,5962,1819,10338
1446,2122,1492,6392,1803,6646,3248,11022
1522,8504,7226,1356,5559,1620,6917,5904
1599,8504,7226,1356,5559,1620,6917,5904
1610,13691,11023,5216,10283,6121,11641,3053
1629,11008,10851,14811,10469,15065,9594,19441
1719,3117,4241,9303,4823,9558,5826,13933
1727,3296,4414,9477,5064,9731,6018,14107
1731,5825,3910,5482,3356,5736,1408,10111
1793,13344,10675,5243,9935,5843,11032,1588
1885,5051,3135,6384,2574,6639,397,11206
1895,5176,3261,5813,2694,6067,1355,10442
1908,12166,13677,7998,12690,8598,13787,3995
1915,2430,1775,6643,2068,6898,3644,11273
2028,12739,10071,4639,9331,5239,10690,1825
2068,5278,3636,5825,2455,6080,1900,10455
2186,4740,2825,7993,2431,8248,2055,12623
2199,3289,4345,9476,4995,9730,6446,14105
2363,12191,9522,4090,8782,4690,10141,2285
2377,1740,3251,9859,3901,10113,5098,14489
2421,3707,1792,5452,1165,5706,1998,10082
2534,3438,4551,9517,5093,9771,6001,14147
2537,2473,2964,9681,3614,9935,4586,14310
2819,2302,299,5784,1176,6038,3028,10414
2849,2234,2724,9441,3374,9695,4242,14071
2890,14025,12381,6949,11708,7549,12702,2180
2900,3508,1948,6079,1736,6333,2562,10708
2912,2430,1500,6643,2086,6898,3579,11273
2914,3395,2843,8821,2339,9075,3067,11205
2964,2724,1544,6218,1636,6473,3150,10848
2988,6757,4923,8091,4523,8345,2873,12720
2998,8898,6230,439,5490,1171,6848,5674
3072,18945,17051,13496,16737,13266,14681,18473
3136,8176,5507,1119,4767,1301,6126,5931
3258,18692,16798,11462,16272,11556,14780,14318
3274,9985,8070,6982,7489,6752,5433,11959
3283,3975,3570,7433,3170,7688,3802,12063
3359,13780,11111,5679,10371,6279,11469,672
3361,11569,9653,5557,9072,5327,7016,10534
3373,5903,3988,5581,3433,5835,1485,10211
3389,6844,8356,13638,9006,14238,10616,9635
339,5732,3817,3381,3036,3635,4335,8192
346,9852,7183,1443,6443,1981,7802,6644
3650,3601,2386,5463,3211,5718,4980,10093
3714,1474,1584,6812,2234,7066,3828,11441
3748,2587,3191,9908,3841,10162,4795,14537
3793,4542,4403,10006,4003,10260,3572,12878
