team,2019mdbet,2019mdowi,2019mdoxo,2019vabla,2019vagle,2019vahay,2019vapor
1080,7241,11356,6936,12955,2104,7555,5002
1086,6373,10341,5921,11641,790,6540,5417
1111,2926,2707,2718,18030,9267,4822,13643
1123,1687,4886,2008,14130,6117,1769,10493
1137,10998,12806,9775,16304,5452,10928,4917
116,2037,5070,2825,14409,8248,2055,12623
122,9942,14057,9637,15656,4805,10256,1594
1262,16649,19154,16798,6372,11556,14793,14318
1389,231,3773,2476,14871,6570,2707,10945
1413,12443,16411,11991,11496,7154,12348,8836
1418,1216,4437,1786,14174,5962,1819,10338
1446,2087,3500,1217,15603,6646,3248,11022
1522,6751,10256,7226,12472,1620,6917,5904
1599,6603,10256,7226,12472,1620,6917,5904
1610,11475,15442,11023,16429,6121,11641,3053
1629,9027,9599,11124,16845,15065,9594,19441
1719,3617,722,4173,17570,9558,5845,13933
1727,3790,1138,4346,17743,9731,6018,14107
1731,3161,6767,3910,12970,5736,1408,10111
1793,11364,15095,10675,16694,5843,11032,1588
1885,2840,6478,3135,13314,6639,397,11206
1895,2729,5881,3261,13709,6067,1355,10442
1908,14041,13830,13677,19449,8598,13787,3995
1915,2757,3840,1500,15827,6898,3579,11273
2028,10523,14491,10071,16090,5239,10690,1825
2068,2830,5982,3362,14255,6080,1900,10455
2186,1848,5259,2825,14409,8248,2055,12623
2199,3789,1055,4345,17548,9730,6446,14105
2363,9975,13942,9522,15542,4690,10141,2477
2377,3043,2012,3251,17908,10113,5117,14489
2421,2178,5332,1792,14278,5706,1998,10082
2534,3927,1168,4443,17772,9771,5942,14147
2537,2512,2162,2964,17142,9935,4586,14310
2819,2447,3825,299,15312,6038,3028,10414
2849,2168,2319,2724,17262,9695,4242,14071
2890,13070,15915,12381,18400,7549,12702,2180
2900,1503,4596,1948,14916,6333,2562,10708
2912,2757,3840,1500,15827,6898,3579,11273
2914,752,4434,2843,15253,9075,3067,11205
2988,4135,5347,4923,12806,8345,2873,12720
2998,6682,10650,6230,11810,1171,6848,5493
3072,16549,19055,17051,3398,13266,14681,18473
3136,5959,9927,5507,12113,1301,6126,5749
3258,16649,19154,16798,6372,11556,14793,14318
3274,7301,9807,8070,8120,6752,5433,11894
3359,11800,15531,11111,17131,6279,11469,672
3361,8884,11390,9653,7107,5327,7016,10534
3373,3238,6607,3988,13070,5835,1485,10211
3389,8720,8508,8356,23668,14238,10616,9635
339,4269,7351,3817,13610,3635,4335,8192
3455,1911,4589,1764,14964,5750,2670,10126
346,7488,11603,7183,12361,1981,7802,6644
3714,1897,2974,1584,16907,7066,3828,11441
3748,2739,1684,3191,16869,10162,4795,14537
3793,2701,3368,4403,14673,10260,3572,12878
384,6736,10851,6431,11530,968,7050,5732
3939,12534,14636,12879,3059,8847,10262,14177
3941,5398,3445,5955,20009,11288,7472,15663
401,14708,17213,15457,692,11424,12839,16574
4099,2197,4302,4064,15830,8181,4084,12557
422,6689,10804,6385,12096,1457,7003,5446
4242,1748,3520,1067,15264,6335,2910,10710
4286,6414,10529,6109,12129,1277,6728,5169
4456,945,3853,3055,16219,9504,3390,14214
4464,1787,2217,2343,16663,7728,3842,12104
4472,2520,5494,1745,15074,4928,2825,9304
449,1187,2814,2112,15429,7128,3242,11504
4505,3408,576,3972,17361,9349,5463,13724
4514,3908,4729,2646,17958,7738,5138,12113
4541,2747,1989,3029,17713,9826,4802,14201
4638,1594,3684,3430,16120,7535,3661,11911
4821,1424,4075,2561,15560,6939,3206,11314
4949,1844,2889,1858,15991,7034,3636,11410
5115,1448,3305,2543,16315,7381,3495,11757
5243,2440,5829,2699,14357,6058,1980,10433
5279,13473,16866,13347,6450,8775,11336,13601
5338,2598,4608,3574,13748,8522,1833,12897
539,6985,11101,6681,12288,1835,7299,6027
5546,7919,12034,7615,13084,2713,8233,5474
5549,1216,4697,1786,14174,5962,1819,10338
5587,1786,4176,1201,15278,6007,2912,10382
5724,13089,15447,13710,2623,9658,11073,14865
5804,7071,11186,6808,11936,1297,7385,6252
5830,2697,2232,2333,17414,9281,4594,13656
5841,2965,3624,5062,15391,10978,4289,13282
5945,2219,2092,2776,17248,8160,4323,14122
5950,15213,18990,15471,7259,10106,13460,13055
5954,11071,15039,10619,10894,4974,11267,8581
5957,10690,14421,10024,16020,5169,10620,1322
6021,9699,13430,9010,14064,4109,9629,4927
611,1011,4233,2192,15169,6377,2331,10753
614,2332,4862,1201,15277,5843,2997,10218
617,6816,10931,6512,12531,1679,7130,4774
6189,9150,11995,8697,10471,3052,9316,8277
619,7944,11313,8693,8628,3663,6191,8870
6194,9384,13499,9178,10026,3429,8914,8433
620,1822,4855,2409,14309,6523,1954,10899
6213,2408,2936,2044,17125,7525,4304,11901
623,1822,4917,2409,14309,6523,1954,10899
6239,2492,3497,1638,15935,6978,3580,11353
6312,9720,11527,8497,15375,4524,9649,5356
6326,3052,1477,3608,17662,8993,5156,13368
6334,7403,11519,7099,11802,1350,7717,6722
6504,1295,4754,1682,14366,5913,2054,10289
6584,984,3323,2634,15241,6941,3074,11316
6802,20649,23155,21151,6528,17366,18781,22573
686,3309,3658,5406,15420,11312,4624,13626
6863,2202,2571,2758,17544,9729,4257,14104
6882,4506,7351,3817,13610,3635,4335,8192
6893,1983,3027,1820,15892,6936,3538,11311
7330,10399,14055,9710,15263,4878,10254,3495
7429,7470,11586,7166,11913,1460,7784,6330
7714,1787,4314,2230,15693,6945,3339,11321
7756,8061,11791,7372,13391,2539,7990,5183
7770,4621,2692,5209,19231,10511,6708,14886
7879,2478,1644,3034,17343,9759,4552,14135
7886,2965,3624,5062,15391,10978,4289,13282
836,5297,6374,3657,17736,6884,6149,11260
888,2712,2023,3268,16505,10239,5403,14615
977,13792,16493,13103,9846,7458,13460,10373
