team,2020mdbet,2020mdedg,2020mdowi,2020vabla,2020vagle,2020vahay,2020vapor
1086,6226,8590,10341,11641,781,6540,5599
1111,2926,464,2707,18030,9013,5210,13643
1123,1666,3923,4909,14130,5863,1769,10493
116,2037,4740,5070,14409,7993,2055,12623
122,9942,12306,14057,15656,4205,10256,1594
1262,16649,18692,19154,6372,11462,14780,14318
1389,231,2913,3797,14871,6316,2707,10945
1413,12443,13671,15524,11496,6185,12348,8836
1418,1216,3702,4697,14174,5708,1819,10338
1446,2087,2122,3500,15603,6392,3248,11022
1522,6603,8504,10256,12472,1356,6917,5904
1598,16067,17676,18924,7781,10256,14315,13113
1599,6603,8504,10256,12472,1356,6917,5722
1629,9027,11008,9599,16845,14811,9594,19441
1719,3617,3117,722,17570,9303,5845,13933
1727,3790,3296,1138,17743,9477,5999,14107
1731,3161,5825,6530,12970,5482,1408,10111
1793,11127,13344,15095,16694,5243,11032,1588
1885,2534,5051,6478,13314,6384,397,11206
1895,2729,5176,5881,13709,5813,1355,10442
1908,14041,12166,13830,19449,7998,13787,3995
1915,2757,2430,3840,15827,6643,3579,11273
2028,10523,12739,14491,16090,4639,10690,1825
2068,2830,5278,5982,14255,5825,1900,10455
2106,7583,9947,11698,10926,1855,7316,6956
2186,2037,4740,5070,14409,7993,2055,12623
2363,9975,12191,13942,15542,4090,10141,2417
2377,3043,1740,2012,17908,9859,5098,14489
2421,1793,3707,5332,14278,5452,1998,10082
2534,3830,3398,1168,17772,9517,5961,14147
2537,2512,2473,2162,17142,9681,4568,14310
2819,2517,2302,3825,15312,5784,3028,10414
2849,2168,2234,2319,17262,9441,4242,14071
2890,12834,14025,15915,18400,6949,12702,2180
2900,1503,3508,4596,14916,6079,2562,10708
2912,2757,2430,3840,15827,6643,3579,11273
2914,752,3395,4434,15253,8821,3067,11205
2961,1954,2588,4689,15487,6303,3132,10933
2988,4135,6757,5347,12806,8091,2873,12720
3072,16549,18945,19055,3398,13496,14681,18473
3136,5959,8176,9927,12113,1119,6126,5931
3258,16649,18692,19154,6372,11462,14780,14318
3274,7301,9985,9807,8120,6982,5433,11959
3359,11564,13780,15531,17131,5679,11469,672
3361,8884,11569,11390,7107,5557,7016,10534
3373,3238,5903,6607,13070,5581,1485,10211
3389,8720,6844,8508,23668,13638,10616,9635
339,4506,5732,7351,13610,3381,4335,8192
346,7488,9852,11603,12361,1443,7802,6644
3650,4276,3601,5514,16569,5463,5053,10093
3714,1897,1474,2974,16648,6812,3828,11441
3748,2739,2587,1684,16869,9908,4795,14537
384,6736,9100,10851,11530,755,7050,5968
3939,12534,14795,14636,3059,9077,10262,13996
3941,5398,4640,3445,20009,11034,7454,15663
401,14708,17104,17213,692,11655,12839,16632
4099,2197,4700,4302,15830,7927,4084,12557
422,6689,9053,10804,12096,522,7003,5446
4242,1748,2297,3520,15264,6080,2910,10710
4286,6414,8778,10529,12129,1092,6728,5169
4456,945,3000,3853,16418,9249,3390,14214
4464,1787,2548,2217,16663,7474,3842,12104
4466,4964,7481,8422,11579,5734,3063,10070
4472,2520,3660,5286,15074,4674,2825,9304
449,1187,2244,2814,15429,6874,3242,11504
4514,3908,2019,4729,17958,7483,5138,12113
4541,2747,1655,1989,17713,9572,4802,14201
4638,1594,3823,4095,16120,7281,3661,11911
4821,1424,3446,4075,15560,6684,3206,11314
4949,1844,1972,2889,15991,6780,3636,11410
5115,1448,2676,3305,15682,7127,3495,11757
5243,2440,4614,5592,14357,5803,1980,10433
5279,13236,15242,16866,6450,8681,11336,13601
5338,2668,5490,4608,13748,8268,1833,12897
539,6985,9349,11101,12288,941,7299,6027
540,7100,9463,11215,11498,1304,7414,6462
5546,7919,10283,12034,13084,1808,8233,5474
5549,1216,3702,4437,14174,5708,1819,10338
5724,13089,15625,15447,2405,9888,11073,14865
5804,7497,9476,11186,11936,1052,7385,6252
5830,2697,1558,2232,17646,9027,4594,13656
5841,2965,4720,3624,15391,10724,4348,13282
5945,2219,2559,2092,17248,9492,4323,14122
5954,11071,13288,15039,10894,4879,11267,8581
5957,10453,12669,14421,16020,4569,10620,1322
6021,9463,11679,12308,14064,3204,9629,4927
611,1011,3372,4233,15169,6123,2331,10753
612,2146,4656,5979,13765,6358,1411,10988
614,2332,3116,4862,15277,5589,2997,10218
617,6816,9180,10931,12531,1048,7130,4774
6189,9150,11366,13117,10471,2957,9316,8277
6194,9384,11748,13499,10026,3529,8914,8615
620,1822,4325,4917,14309,6269,1954,10899
6213,2408,1478,2936,17125,7271,4304,11901
623,1696,4325,5044,14309,6269,1954,10899
6239,2492,2076,3497,15935,6724,3580,11353
6326,3052,2563,1477,17662,8739,5156,13368
6334,7403,9767,11519,11802,1636,7717,6722
6504,1295,3598,4754,14366,5659,2054,10289
6584,984,2649,3323,15241,6687,3055,11316
6802,20649,23045,23155,6528,17596,18781,22573
686,3309,5296,3658,15420,11058,4624,13626
6863,2202,2365,2571,17544,9475,4257,14104
6882,4269,5456,7309,13610,3381,4335,8192
7429,7470,9834,11586,11913,1426,7784,6512
7714,1787,3091,4314,15693,6691,3339,11321
7770,4621,3863,2692,19231,10257,6726,14886
7886,2965,4720,3624,15391,10724,4289,13282
