team,2022dc305,2022dc306,2022dc312,2022dc313,2022dc319,2022dc320,2022dc326,2022dc327,2022va305,2022va306,2022va319,2022va320
1080,8907,8907,8907,7641,8907,8907,8325,8907,1546,1546,1546,1546
1086,6632,7953,6632,6258,7953,6632,6632,6258,2139,2139,2139,2139
1111,2672,2672,2672,2672,2672,2672,2672,2672,9161,9103,9103,9103
1123,1904,1904,1904,1904,1904,1904,1904,1904,7178,7236,7236,7178
116,2203,2203,2203,2203,2203,2203,2203,2203,8105,8101,8101,7948
122,9982,9982,9982,9982,9982,9982,9982,9982,4924,4924,4924,4924
1262,16876,16876,16876,16876,16876,16876,16876,16876,10254,10254,10254,10254
1389,1662,1662,1662,1662,1662,1662,1662,1662,7840,7653,7840,7840
1413,12316,12316,12316,12316,12316,12316,12316,12316,4780,4780,4780,4780
1418,1300,1300,1300,1300,1300,1300,1300,1300,7075,7075,7075,7204
1522,7569,7569,7569,7569,7569,7569,7569,7569,2721,2721,2721,2721
1598,16400,16400,16400,16400,16400,16400,16400,16400,9052,9052,9052,9052
1599,7569,7569,7569,7569,7569,7569,7569,7569,2721,2721,2721,2721
1610,11358,11358,11358,11358,11358,11358,11358,11358,3822,3822,3822,3822
1629,10327,10327,10327,10327,10327,10327,10327,10327,16168,16168,16168,16168
1719,4129,4580,4580,4580,4580,4129,4129,4129,10792,11247,10883,10808
1727,4281,4732,4732,4732,4732,4732,4732,4281,10851,10944,10944,10944
1731,3485,3485,3485,3485,3485,3485,3485,3485,6832,6832,6832,6832
1793,11027,11027,11027,11027,11027,11027,11027,11027,6163,6163,6163,6163
1885,2689,2689,2689,2689,2689,2689,2689,2689,7531,7531,7531,7531
1895,2856,2856,2856,2856,2856,2856,2856,2856,7191,7191,7191,7191
1908,13791,13791,13791,13791,13791,13791,13791,13791,8626,8626,8626,8626
1915,1191,1191,1191,1191,1191,1191,1191,1191,8189,8252,8007,8007
2028,10432,10432,10432,10432,10432,10432,10432,10432,5373,5373,5373,5373
2068,2956,2956,2956,2956,2956,2956,2956,2956,7167,7167,7167,7167
2106,8643,8643,8643,9382,9382,8643,8643,9382,3070,3070,3070,3070
2186,2203,2203,2203,2203,2203,2203,2203,2203,8101,8101,8101,7948
2199,4734,4282,4734,4734,4282,4734,4734,4734,10945,10945,10945,10945
2363,9869,9869,9869,9869,9869,9869,9869,9869,4810,4810,4810,4810
2377,3422,3422,3422,3422,3422,3422,3422,3422,9853,9853,10308,9853
2421,2161,2047,2047,2161,2047,2161,2161,2161,6767,6767,6798,6767
2534,4761,4761,4812,4761,4310,4310,4812,4812,10973,11024,11659,11024
2537,2971,2971,2971,2971,2971,2971,2971,2971,9540,9540,9546,9468
2849,2721,2721,2721,2721,2721,2721,2721,2721,9218,9260,9260,9260
2890,12772,12772,12772,12772,12772,12772,12772,12772,6566,6566,6566,6566
2900,742,742,742,742,742,742,742,742,7380,7438,7438,7438
2912,1191,1191,1191,1191,1191,1191,1191,1191,8222,8189,8252,8007
2914,1020,1020,1020,1020,1020,1020,1020,1020,7952,8088,7952,8038
2961,483,483,483,483,483,483,483,483,7855,7792,7792,7792
2988,4413,4413,4413,4413,4413,4413,4413,4413,9448,9448,9448,9448
2998,7628,7255,7628,6943,7628,7628,7628,6943,1802,1802,1802,1802
3136,7139,5846,7139,7014,7139,7139,7139,7139,2480,2480,2480,2480
3258,16876,16876,16876,16876,16876,16876,16876,16876,10254,10254,10254,10254
3274,7607,7607,7607,7607,7607,7607,7607,7607,8315,8315,8315,8315
3359,11455,11455,11455,11455,11455,11455,11455,11455,5894,5894,5894,5894
3361,9172,9172,9172,9172,9172,9172,9172,9172,6904,6904,6904,6904
3373,3563,3563,3563,3563,3563,3563,3563,3563,6932,6932,6932,6932
3389,8402,8402,8402,8402,8402,8402,8402,8402,14218,14218,14218,14218
339,4075,4091,4091,4091,4091,4091,4091,4075,4882,4882,4882,4882
346,8875,8875,8875,8875,8875,8595,8875,9436,1364,1364,1364,1364
3714,1679,1679,1679,1679,1679,1679,1679,1679,8323,8323,8185,8323
3748,3532,3532,3532,3532,3532,3532,3532,3532,9702,9702,9702,9743
3793,3888,3888,3888,3888,3888,3888,3888,3888,9686,9686,9622,9622
384,7143,7828,8108,8108,8650,7828,7828,8108,2113,2113,2113,2113
3939,12416,12416,12416,12416,12416,12416,12416,12416,10440,10440,10440,10440
401,14980,14980,14980,14980,14980,14980,14980,14980,12943,12943,12943,12943
4099,3560,3560,3560,3560,3560,3560,3560,3560,9282,9469,9282,9282
422,7789,8134,7104,7104,7104,7789,7789,7789,1485,1485,1485,1485
4242,1045,1045,1045,1045,1045,1045,1045,1045,7463,7463,7425,7425
4286,7940,7940,7940,7940,7940,7940,7940,7940,2044,2044,2044,2044
4456,1258,1258,1258,1258,1258,1258,1258,1258,8252,8532,8532,8532
4464,2540,2540,2540,2540,2540,2540,2540,2540,8891,8891,8849,8891
4472,2002,2002,2002,2002,2002,2002,2002,2002,5977,5977,5977,5977
449,1963,1963,1963,1963,1963,1963,1963,1963,8249,8378,8378,8378
4505,3895,4347,4347,3895,4347,3895,4347,3895,10558,10558,11389,10558
4541,2833,2833,2833,2833,2833,2833,2833,2833,9577,9633,9633,9457
4638,2917,2917,2917,2917,2917,2917,2917,2917,8651,8629,8651,8651
4821,972,972,972,972,972,972,972,972,8647,8149,8069,8069
5115,1524,1524,1524,1524,1524,1524,1524,1524,8455,8455,8493,8455
5243,2589,2589,2589,2589,2589,2589,2589,2589,7179,7121,7121,7179
5338,3065,3065,3065,3065,3065,3065,3065,3065,8816,8816,8816,8816
539,8084,8084,7400,8084,7400,8084,8364,8084,1821,1821,1821,1821
540,8481,8201,8481,8481,8481,8481,8481,8481,2328,2328,2328,2328
5546,9292,9012,9292,9012,9012,9012,9292,9012,417,417,417,417
5549,1300,1300,1300,1300,1300,1300,1300,1300,7017,7017,7017,7075
5587,1343,1343,1343,1343,1343,1343,1343,1343,7052,7110,7052,7052
5724,13217,13217,13217,13217,13217,13217,13217,13217,11180,11180,11180,11180
5804,8486,8206,8446,7521,8206,8446,8446,8446,2109,2109,2109,2109
5830,2452,2452,2452,2452,2452,2452,2452,2452,8941,8941,8941,8883
5841,4281,4281,4281,4281,4281,4281,4281,4281,10015,9977,9977,10015
5954,10982,10982,10982,10982,10982,10982,10982,10982,3948,3948,3948,3948
611,1430,1430,1430,1430,1430,1430,1430,1430,7443,7443,7443,7443
612,2319,2319,2319,2319,2319,2319,2319,2319,7675,7675,7675,7675
614,2060,2060,2060,2060,2060,2060,2144,2060,6893,6893,6951,6893
617,7907,8489,7907,8489,7223,7223,8489,8489,1913,1913,1913,1913
6189,9058,9058,9058,9058,9058,9058,9058,9058,3118,3118,3118,3118
619,8280,8280,8280,8280,8280,8280,8280,8280,5544,5544,5544,5544
6194,10988,10988,10988,10988,10988,10988,10988,10988,3962,3962,3962,3962
620,2081,2081,2081,2081,2081,2081,2081,2081,7785,8042,8042,7656
6213,2155,2155,2155,2155,2155,2155,2155,2155,8773,8644,8773,8773
623,2081,2081,2081,2081,2081,2081,2081,2081,8042,7785,7785,8042
6239,1638,1638,1638,1638,1638,1638,1638,1638,8088,8088,8030,8217
6326,3532,3532,3532,3640,3640,3640,3669,3532,10641,10203,10203,10203
6504,1543,1543,1543,1543,1543,1543,1543,1543,7013,6955,7013,6955
6802,20897,20897,20897,20897,20897,20897,20897,20897,18887,18887,18887,18887
686,4634,4634,4634,4634,4634,4634,4634,4634,10310,10310,10310,10310
6863,2945,2945,2945,2945,2945,2945,2945,2945,9296,9296,9296,9296
6882,4075,4091,4075,4091,4091,4091,4091,4091,4882,4882,4882,4882
6893,1622,1622,1622,1622,1622,1622,1622,1622,8016,8145,8016,8145
7429,8853,8853,8853,8573,8853,8573,8853,8853,1980,1980,1980,1980
7770,4992,4992,4992,4992,4992,4992,4992,4992,11864,11616,11864,11888
7886,4281,4281,4281,4281,4281,4281,4281,4281,9977,9977,10015,9977
8197,1699,1699,1699,1699,1699,1699,1699,1699,8280,8093,8151,8151
8217,1269,1269,1269,1269,1269,1269,1269,1269,7091,7091,7033,7033
8230,1269,1269,1269,1269,1269,1269,1269,1269,7091,7091,7091,7091
8326,1020,1020,1020,1020,1020,1020,1020,1020,8088,8088,8038,8038
836,4576,4576,4576,4576,4576,4576,4576,4576,7887,7887,7887,7887
8514,4338,4338,3982,3982,4338,3982,3982,3982,10308,10308,10271,10308
8590,1904,1904,1904,1904,1904,1904,1904,1904,7178,7178,7178,7178
8592,1904,1904,1904,1904,1904,1904,1904,1904,7178,7178,7178,7236
8622,2736,2736,2736,2736,2736,2736,2736,2736,9167,9167,9167,9167
8703,3982,3982,3982,3982,3982,3982,3982,3982,10271,10271,10308,10271
