team,2023mdbet,2023mdtim,2023vaale,2023vabla,2023vagle,2023vapor
1086,8039,10847,5636,11596,767,5435
1111,3021,3164,3208,17256,7971,12451
1123,1502,4826,1598,14007,6046,10526
116,1616,4940,2212,14307,6978,11238
122,9984,15514,8902,15615,4785,1420
1262,16480,19578,16700,6466,11532,14326
1389,231,3874,1954,14701,6559,10981
1413,12319,15610,11236,11527,7049,8852
1418,1077,4402,1338,14050,5942,10307
1446,2144,3828,1775,15477,6623,11045
1522,7655,10776,6525,12428,1598,5749
1598,16003,19327,16224,7879,10331,13125
1599,7655,10776,6573,12428,1598,5749
1610,11360,15947,10278,16404,6091,3073
1629,8999,10015,10325,16704,15035,19457
1719,3804,1608,4896,17568,10114,14082
1727,4054,381,5048,17720,9828,14234
1731,3088,6412,3309,12872,5699,10121
1793,11029,14320,9947,16660,5830,1609
1885,2292,5617,2513,12801,6399,10821
1895,2460,5784,2680,13624,6059,10481
1908,14042,14290,14326,19464,8635,4034
1915,2581,3867,2068,15901,6875,11297
2028,10434,15021,9351,16064,5235,1664
2068,2560,5884,2441,14157,6035,10457
2106,8985,12309,7683,10853,1610,6862
2186,1616,4940,2212,14307,6978,11238
2199,3958,1762,5050,17551,10268,14690
2363,9871,15194,8788,15501,4672,2109
2377,3280,2475,3957,17894,8727,13143
2421,1819,5144,1157,14223,5634,10114
2534,4036,1124,5128,17749,9908,14314
2537,2406,2227,3614,16478,8414,12836
2819,2139,4270,1175,15250,6023,10445
2849,2254,2381,3364,16228,8086,12549
2890,12774,16066,11692,18420,7591,2238
2900,1375,5062,1718,14775,6305,10670
2912,2581,3867,2068,15901,6875,11297
2914,761,4374,2232,15088,6820,11141
2961,1976,4302,1944,15364,6536,10958
2988,3826,5794,4422,12317,8316,12738
2998,6571,11158,5947,11758,1142,5516
3072,16425,19471,16646,3404,13203,19028
3136,7225,10516,6143,12070,1272,5770
3258,16480,19578,16700,6466,11532,14326
3274,7211,10257,7432,8071,6706,11958
3359,11457,16044,10375,17088,6259,682
3361,8776,11822,8997,7071,5295,10547
3373,3166,6490,3387,12918,5799,10222
3389,8652,8901,8937,22724,14228,9627
339,4161,7452,3031,13596,3750,8172
346,8961,12125,7831,12338,1952,6100
3650,4138,5868,3236,16442,5591,10422
3714,1894,3686,2231,16288,7190,11475
3748,2640,1979,3848,16851,8569,13070
3793,2560,3576,4007,14656,8559,12912
384,8736,11358,6147,11479,943,5756
3939,12019,15065,12240,3043,8797,14049
3941,5390,3153,6875,19462,11638,16060
401,14584,17630,14804,667,11362,16614
404,9378,12542,8248,13064,2686,5500
4099,2232,4761,3603,15832,8207,12629
422,7191,11319,6372,12051,1435,5285
4242,1825,4001,1628,15158,6330,10715
4286,8026,11036,6944,12079,1250,5011
4456,951,3971,2726,15549,7119,11822
4464,1787,2670,2995,15859,7764,12181
4466,4749,8073,4969,11538,5465,10098
4472,2088,5758,1053,15029,4845,9267
449,1187,3250,2512,15259,7245,11539
4505,3669,1587,4663,17334,10061,14483
4514,3906,5212,3288,17337,7621,12044
4541,2839,2440,3477,16813,8325,12747
4638,1589,4351,2915,15662,7663,11918
4821,1433,4373,2349,15442,6937,11439
4949,1931,3361,2137,15839,6985,11407
5115,1477,3629,2757,15503,7361,11783
5243,2193,5517,1802,14303,5989,10469
5279,13022,16346,13243,6446,8749,13659
5338,2478,5076,3074,13722,7684,12101
539,8170,11614,6403,12233,1802,5872
540,8567,11731,7437,11452,1020,6309
5546,9378,12542,8248,13064,2686,5500
5549,1077,4402,1338,14050,5884,10365
5587,1835,4652,1192,15202,5978,10342
5724,12821,15867,13042,2389,9599,14851
5804,8252,11696,6525,11887,1270,6054
5830,2801,2697,2987,17035,7750,12173
5841,2953,3742,4279,15360,8845,13267
5945,2218,2517,3426,16290,8189,12611
5954,10984,15571,9901,10870,4950,8600
5957,10352,14939,9270,15983,5154,1141
6021,9344,13931,8262,14042,4075,4938
611,1032,4356,1764,14511,6310,10732
612,1923,5247,2143,13673,6543,11023
614,2143,5047,311,15231,5819,10183
617,7309,11438,7444,12481,1652,4798
6189,11044,13647,7978,10444,3026,7854
619,7883,11207,8104,8596,3936,9188
6194,10591,13916,9205,10007,3414,8475
620,1510,4834,1919,14194,6523,11332
6213,2405,3412,2690,16739,7454,11934
623,1510,4834,1919,14194,6909,10946
6239,2477,3978,2108,15810,7085,11507
6326,3045,1431,4283,17633,10423,14845
6334,8872,12036,7790,11757,1325,6569
6504,1174,4498,1276,14284,5823,10245
6584,988,3762,2323,15069,6927,11478
6802,20500,23546,20721,6519,17278,22530
686,3306,4327,4631,15591,9235,13657
6863,2290,2629,3400,16264,8122,12586
6882,4161,7452,3047,13596,3750,8172
6893,2090,3500,2036,15738,6884,11306
7429,8939,12103,7857,11862,1430,6361
7714,1758,4552,2340,15569,6928,11350
7770,4621,2224,5635,19209,10734,15159
7886,2953,3742,4279,15360,8883,13273
8108,19314,22360,19535,6293,16092,21344
8197,1761,3316,2197,15833,7147,11570
8217,1853,4578,1372,14996,5959,10323
8230,1853,4578,1372,14996,5901,10323
8326,761,4374,2232,15088,6820,11242
8357,2885,4537,1947,15995,6768,11190
836,5233,7259,4295,17605,6754,11177
8514,3246,2528,4572,15934,9176,13598
8590,1502,4826,1598,14007,6104,10468
8592,1502,4826,1598,14007,6104,10526
8622,2811,2654,3271,16883,8092,12515
8703,3246,2528,4572,15934,9138,13598
8726,2317,3170,3642,15284,8246,12668
888,2710,2236,3917,16472,8639,13061
9003,14306,17630,14527,7170,9539,13214
9010,10258,14845,9176,15889,5059,1516
9033,1600,4369,1354,14744,5942,10364
9072,2575,2099,3441,17317,8448,12871
9179,1542,4607,1935,15098,6465,10954
9214,11608,16979,10526,17180,6351,928
