team,lat,lng,addr
1086,37.665978,-77.5063739,"Glen Allen, Virginia 23059"
1111,38.94056399999999,-76.5629398,"Edgewater, Maryland 21037"
1123,38.84622359999999,-77.30637329999999,"Fairfax, Virginia 22030"
116,38.9695545,-77.3860976,"Herndon, Virginia 20170"
122,37.0538822,-76.39845369999999,"Hampton, Virginia 23666"
1262,36.6915262,-79.8725386,"Martinsville, Virginia 24112"
1389,38.9894702,-77.1370115,"Bethesda, Maryland 20817"
1413,36.69430699999999,-78.49083209999999,"Skipwith, Virginia 23968"
1418,38.8989474,-77.20027449999999,"Falls Church, Virginia 22043"
1446,38.8910932,-76.94702199999999,"Washington, District of Columbia 20019"
1522,37.685378,-77.3439283,"Mechanicsville, Virginia 23116"
1598,36.6006281,-79.53786339999999,"Danville, Virginia 24541"
1599,37.685378,-77.3439283,"Mechanicsville, Virginia 23116"
1610,36.6776507,-76.9224608,"Franklin, Virginia 23851"
1629,39.628696,-79.31975899999999,"Accident, Maryland 21520"
1719,39.3744588,-76.745195,"Baltimore, Maryland 21208"
1727,39.4354087,-76.6123884,"Lutherville Timonium, Maryland 21093"
1731,38.71,-77.78999999999999,"Warrenton, Virginia 20188"
1793,36.893246,-76.24211849999999,"Norfolk, Virginia 23513"
1885,38.8120591,-77.6363806,"Haymarket, Virginia 20169"
1895,38.76571819999999,-77.4811474,"Manassas, Virginia 20110"
1908,37.3496388,-75.9360772,"Eastville, Virginia 23347"
1915,38.9052763,-76.98158769999999,"Washington, District of Columbia 20002"
2028,37.0279431,-76.3116235,"Hampton, Virginia 23663"
2068,38.7550023,-77.4357739,"Manassas, Virginia 20111"
2106,37.6841421,-77.885374,"Goochland, Virginia 23063"
2186,38.9695545,-77.3860976,"Herndon, Virginia 20151"
2199,39.4877635,-76.88939069999999,"Finksburg, Maryland 21048"
2363,37.1120848,-76.5372625,"Newport News, Virginia 23602"
2377,39.1073317,-76.57107529999999,"Pasadena, Maryland 21122"
2421,38.7843884,-77.2807423,"Burke, Virginia 22015"
2534,39.3566383,-76.6354952,"Baltimore , Maryland 21210"
2537,39.206658,-76.8836261,"Columbia, Maryland 21044"
2819,38.80331779999999,-76.98972780000001,"Oxon Hill, Maryland 20745"
2849,39.166263,-76.8432663,"Columbia, Maryland 21046"
2890,36.6215976,-76.2247366,"Chesapeake, Virginia 23322"
